Epoch,Collocation Loss,Physics Loss,Total Loss,Alpha
0,0.26694661378860474,96404206780416.0,1.2309887409210205,1e-14
1000,0.0004849203396588564,12928207872.0,0.0006142024067230523,1e-14
2000,8.022851397981867e-05,3339359232.0,0.00011362211080268025,1e-14
3000,2.7377162041375414e-05,1435392896.0,4.173109118710272e-05,1e-14
4000,1.252028869203059e-05,896092096.0,2.148120984202251e-05,1e-14
5000,5.933374268352054e-06,540938880.0,1.1342763173161075e-05,1e-14
6000,3.0561534458684037e-06,342637472.0,6.48252807877725e-06,1e-14
7000,1.9019140609088936e-06,222440272.0,4.126316525798757e-06,1e-14
8000,1.4370448297995608e-06,199430480.0,3.431349568927544e-06,1e-14
9000,1.4227496194507694e-06,150185856.0,2.92460799755645e-06,1e-14
10000,1.5000384792074328e-06,126364640.0,2.7636847335088532e-06,1e-14
11000,1.4293264030129649e-06,122751792.0,2.6568443445285084e-06,1e-14
12000,1.4439377764574601e-06,117246168.0,2.6163993425143417e-06,1e-14
13000,1.4918081205905764e-06,173670016.0,3.2285083761962596e-06,1e-14
14000,2.549033069954021e-06,466741088.0,7.2164439188782126e-06,1e-14
