Epoch,Collocation Loss,Physics Loss,Total Loss,Alpha,E,Percent Error (E)
0,0.09574054926633835,19117721518080.0,0.2869177758693695,1e-14,"tensor(51923080., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[25.0000]], device='cuda:0')"
1000,0.025273757055401802,492616646656.0,0.030199922621250153,1e-14,"tensor(33364064., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[51.8075]], device='cuda:0')"
2000,0.0252368301153183,520058994688.0,0.030437421053647995,1e-14,"tensor(33353356., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[51.8229]], device='cuda:0')"
3000,0.025147296488285065,497167925248.0,0.030118975788354874,1e-14,"tensor(33354226., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[51.8217]], device='cuda:0')"
4000,0.025212744250893593,512116260864.0,0.030333906412124634,1e-14,"tensor(33385106., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[51.7771]], device='cuda:0')"
5000,0.025388654321432114,551781990400.0,0.030906474217772484,1e-14,"tensor(33199286., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.0455]], device='cuda:0')"
6000,0.02534370683133602,534252158976.0,0.030686229467391968,1e-14,"tensor(33331796., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[51.8541]], device='cuda:0')"
7000,0.02522149309515953,491762024448.0,0.03013911284506321,1e-14,"tensor(33352814., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[51.8237]], device='cuda:0')"
8000,0.02520211599767208,484053843968.0,0.030042653903365135,1e-14,"tensor(33365270., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[51.8057]], device='cuda:0')"
9000,0.08931365609169006,3995668578304.0,0.12927034497261047,1e-14,"tensor(46670520., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[32.5870]], device='cuda:0')"
10000,0.057144708931446075,2073743589376.0,0.07788214087486267,1e-14,"tensor(36155568., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[47.7753]], device='cuda:0')"
11000,0.030423523858189583,1657727221760.0,0.04700079560279846,1e-14,"tensor(33015176., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.3114]], device='cuda:0')"
12000,0.029108408838510513,685368279040.0,0.03596208989620209,1e-14,"tensor(33061702., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.2442]], device='cuda:0')"
13000,0.025877710431814194,703080955904.0,0.032908521592617035,1e-14,"tensor(33234460., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[51.9947]], device='cuda:0')"
14000,0.02560511790215969,580264132608.0,0.031407758593559265,1e-14,"tensor(33284832., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[51.9219]], device='cuda:0')"
15000,0.025484353303909302,801628291072.0,0.033500634133815765,1e-14,"tensor(33295384., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[51.9067]], device='cuda:0')"
16000,0.08951382339000702,3683378790400.0,0.1263476014137268,1e-14,"tensor(50276692., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[27.3781]], device='cuda:0')"
17000,0.08950526267290115,2764353044480.0,0.11714879423379898,1e-14,"tensor(41894320., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[39.4860]], device='cuda:0')"
18000,0.08921301364898682,1053877796864.0,0.0997517928481102,1e-14,"tensor(-2046294.7500, device='cuda:0', grad_fn=<MulBackward0>)","tensor([[102.9558]], device='cuda:0')"
19000,0.0874229297041893,176066641920.0,0.08918359875679016,1e-14,"tensor(-30599772., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[144.1997]], device='cuda:0')"
