Epoch,Collocation Loss,Physics Loss,Total Loss,Alpha,E,Percent Error (E)
0,0.09907947480678558,13838861729792.0,0.23746809363365173,1e-14,"tensor(48461536., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[30.0000]], device='cuda:0')"
1000,0.007009556982666254,637371744256.0,0.013383274897933006,1e-14,"tensor(32937964., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4229]], device='cuda:0')"
2000,0.007141150534152985,754885328896.0,0.014690004289150238,1e-14,"tensor(32945666., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4118]], device='cuda:0')"
3000,0.007016601972281933,583992016896.0,0.01285652257502079,1e-14,"tensor(32954914., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.3985]], device='cuda:0')"
4000,0.07973046600818634,5217176256512.0,0.13190223276615143,1e-14,"tensor(38844992., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[43.8906]], device='cuda:0')"
5000,0.07975893467664719,4828081160192.0,0.12803974747657776,1e-14,"tensor(38299860., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[44.6780]], device='cuda:0')"
6000,0.07971680909395218,3190734192640.0,0.11162415146827698,1e-14,"tensor(22999908., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[66.7779]], device='cuda:0')"
7000,0.07974982261657715,4010149675008.0,0.11985132098197937,1e-14,"tensor(-19219204., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[127.7611]], device='cuda:0')"
8000,0.07823359221220016,127609085952.0,0.0795096829533577,1e-14,"tensor(-73497960., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[206.1637]], device='cuda:0')"
9000,0.07741588354110718,148983529472.0,0.07890571653842926,1e-14,"tensor(-80959552., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[216.9416]], device='cuda:0')"
10000,0.0769634023308754,109853114368.0,0.07806193083524704,1e-14,"tensor(-91953264., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[232.8214]], device='cuda:0')"
11000,0.07602322846651077,230816825344.0,0.07833139598369598,1e-14,"tensor(-1.0019e+08, device='cuda:0', grad_fn=<MulBackward0>)","tensor([[244.7120]], device='cuda:0')"
12000,0.06265779584646225,932434739200.0,0.07198214530944824,1e-14,"tensor(-48176744., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[169.5886]], device='cuda:0')"
13000,0.014704067260026932,1318718668800.0,0.0278912540525198,1e-14,"tensor(32309538., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[53.3307]], device='cuda:0')"
14000,0.007291116286069155,709803704320.0,0.014389153569936752,1e-14,"tensor(32858502., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.5377]], device='cuda:0')"
15000,0.07970033586025238,5433155125248.0,0.13403189182281494,1e-14,"tensor(48092284., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[30.5334]], device='cuda:0')"
16000,0.07932324707508087,3973962006528.0,0.1190628707408905,1e-14,"tensor(42340536., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[38.8414]], device='cuda:0')"
17000,0.07666667550802231,214949560320.0,0.07881616801023483,1e-14,"tensor(-4111974.7500, device='cuda:0', grad_fn=<MulBackward0>)","tensor([[105.9395]], device='cuda:0')"
18000,0.07539594173431396,255758139392.0,0.0779535248875618,1e-14,"tensor(-11665756., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[116.8505]], device='cuda:0')"
19000,0.04116281494498253,1494426451968.0,0.05610708147287369,1e-14,"tensor(20347384., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[70.6093]], device='cuda:0')"
