Epoch,Collocation Loss,Physics Loss,Total Loss,Alpha
0,0.5035905241966248,97513524690944.0,1.4787256717681885,1e-14
1000,0.0003768836322706193,45003522048.0,0.000826918869279325,1e-14
2000,4.9995636800304055e-05,5235103232.0,0.00010234666842734441,1e-14
3000,2.1320653104339726e-05,2947196928.0,5.0792623369488865e-05,1e-14
4000,1.4781453501200303e-05,1981286784.0,3.4594319004099816e-05,1e-14
5000,4.941270162817091e-05,6265069568.0,0.00011206339695490897,1e-14
6000,1.1434551197453402e-05,1540991616.0,2.6844467356568202e-05,1e-14
7000,1.0987893801939208e-05,1560463360.0,2.659252641024068e-05,1e-14
8000,1.1557651305338368e-05,1506971136.0,2.662736369529739e-05,1e-14
9000,2.2336984329740517e-05,3025755136.0,5.259453610051423e-05,1e-14
10000,1.1491290933918208e-05,1493436416.0,2.642565596033819e-05,1e-14
11000,1.1060601536883041e-05,1511230592.0,2.6172907382715493e-05,1e-14
12000,1.2047510608681478e-05,1625573248.0,2.8303242288529873e-05,1e-14
13000,1.1928312233067118e-05,1728798848.0,2.9216300390544347e-05,1e-14
14000,1.1181614354427438e-05,1463105024.0,2.581266380730085e-05,1e-14
