Epoch,Collocation Loss,Physics Loss,Total Loss,Alpha
0,0.2759776711463928,61404501508096.0,0.8900226950645447,1e-14
1000,0.00027997849974781275,10215788544.0,0.00038213637890294194,1e-14
2000,4.587677540257573e-05,2673120768.0,7.260798156494275e-05,1e-14
3000,1.2401406820572447e-05,940475008.0,2.1806157747050747e-05,1e-14
4000,4.630042894859798e-06,464925312.0,9.279296136810444e-06,1e-14
5000,2.642040726641426e-06,291130464.0,5.553345545195043e-06,1e-14
6000,3.3615324355196208e-06,290261504.0,6.2641474869451486e-06,1e-14
7000,2.8927490802743705e-06,397761760.0,6.870366632938385e-06,1e-14
8000,1.7717908349368372e-06,176109728.0,3.5328880585439038e-06,1e-14
9000,1.7768028328646324e-06,196101072.0,3.7378135857579764e-06,1e-14
10000,7.964305950736161e-06,2005090304.0,2.8015208954457194e-05,1e-14
11000,2.227939148724545e-06,291719136.0,5.145130671735387e-06,1e-14
12000,2.0184852473903447e-06,227683216.0,4.2953174670401495e-06,1e-14
13000,1.7156729654743685e-06,160969168.0,3.3253645597142167e-06,1e-14
14000,3.1782994938112097e-06,328786976.0,6.46616899757646e-06,1e-14
