Epoch,Collocation Loss,Physics Loss,Total Loss,Alpha
0,0.060490932315588,16525657374720.0,0.2257475107908249,1e-14
1000,0.002267459174618125,137521692672.0,0.003642675932496786,1e-14
2000,0.00032737283618189394,45090607104.0,0.0007782789180055261,1e-14
3000,0.000276443111943081,36654022656.0,0.000642983359284699,1e-14
4000,0.00027329561999067664,36263440384.0,0.0006359299877658486,1e-14
5000,0.0002728350227698684,38347476992.0,0.0006563097704201937,1e-14
6000,0.00027816902729682624,39606861824.0,0.0006742376135662198,1e-14
7000,0.00027616714942269027,39829139456.0,0.0006744585698470473,1e-14
8000,0.0002723055658861995,35054489600.0,0.0006228504935279489,1e-14
9000,0.00027307262644171715,36914262016.0,0.0006422152509912848,1e-14
10000,0.00027235804009251297,35295424512.0,0.0006253122701309621,1e-14
11000,0.00027209389372728765,35710271488.0,0.0006291966419667006,1e-14
12000,0.0002728826948441565,35490217984.0,0.0006277848733589053,1e-14
13000,0.000271855853497982,35248762880.0,0.0006243434618227184,1e-14
14000,0.00027184284408576787,36849106944.0,0.0006403339211829007,1e-14
