Epoch,Collocation Loss,Physics Loss,Total Loss,Alpha,E,Percent Error (E)
0,0.14484113454818726,22002037424128.0,0.36486148834228516,1e-14,"tensor(79615384., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[15.0000]], device='cuda:0')"
1000,0.022107023745775223,355631693824.0,0.025663340464234352,1e-14,"tensor(68094704., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[1.6410]], device='cuda:0')"
2000,0.02188960835337639,318283186176.0,0.02507244050502777,1e-14,"tensor(68259416., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[1.4031]], device='cuda:0')"
2135,0.02211941033601761,747760123904.0,0.02959701046347618,1e-14,"tensor(68099240., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[1.6052]], device='cuda:0')"
