Epoch,Collocation Loss,Physics Loss,Total Loss,Alpha
0,nan,409620795359232.0,nan,1e-14
1000,nan,9761489682432.0,nan,1e-14
2000,nan,774700072960.0,nan,1e-14
3000,nan,67372535808.0,nan,1e-14
4000,nan,14906562560.0,nan,1e-14
5000,nan,5102178304.0,nan,1e-14
6000,nan,3107479296.0,nan,1e-14
7000,nan,2403376128.0,nan,1e-14
8000,nan,1850205184.0,nan,1e-14
9000,nan,1558594048.0,nan,1e-14
10000,nan,1224455808.0,nan,1e-14
11000,nan,2475201280.0,nan,1e-14
12000,nan,1085143552.0,nan,1e-14
13000,nan,788442752.0,nan,1e-14
14000,nan,475617728.0,nan,1e-14
