Epoch,Collocation Loss,Physics Loss,Total Loss,Alpha
0,0.40146684646606445,90240559611904.0,1.3038723468780518,1e-14
1000,0.0002435291389701888,13895984128.0,0.00038248897180892527,1e-14
2000,3.261965321144089e-05,2590868992.0,5.852834146935493e-05,1e-14
3000,1.4173349882184993e-05,1339108480.0,2.7564434276428074e-05,1e-14
4000,1.1310172340017743e-05,1559592448.0,2.690609653654974e-05,1e-14
5000,1.1036435353162233e-05,995918592.0,2.0995621525798924e-05,1e-14
6000,1.0537743946770206e-05,947222272.0,2.0009967556688935e-05,1e-14
7000,1.0196321454714052e-05,924322688.0,1.9439547031652182e-05,1e-14
8000,1.0812937944137957e-05,949020672.0,2.030314499279484e-05,1e-14
9000,1.2240217074577231e-05,1003920448.0,2.2279422410065308e-05,1e-14
10000,1.030598741635913e-05,852794112.0,1.8833929061656818e-05,1e-14
11000,9.660449904913548e-06,1287480576.0,2.253525599371642e-05,1e-14
12000,9.856349606707226e-06,856078976.0,1.841714038164355e-05,1e-14
13000,1.5113862900761887e-05,1047984832.0,2.5593712052796036e-05,1e-14
14000,9.102157491724938e-06,985928384.0,1.8961440218845382e-05,1e-14
