Epoch,Collocation Loss,Physics Loss,Total Loss,Alpha,E,Percent Error (E)
0,0.12385229021310806,11598828666880.0,0.239840567111969,1e-14,"tensor(48461536., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[30.0000]], device='cuda:0')"
1000,0.009210619144141674,576349536256.0,0.01497411448508501,1e-14,"tensor(32919106., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4502]], device='cuda:0')"
2000,0.009349141269922256,644542169088.0,0.01579456217586994,1e-14,"tensor(32935234., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4269]], device='cuda:0')"
3000,0.009226932190358639,616274657280.0,0.015389678999781609,1e-14,"tensor(32919184., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4501]], device='cuda:0')"
4000,0.009277556091547012,666722762752.0,0.01594478264451027,1e-14,"tensor(32917454., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4526]], device='cuda:0')"
5000,0.009219272993505001,600770281472.0,0.015226975083351135,1e-14,"tensor(32921242., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4471]], device='cuda:0')"
6000,0.08478687703609467,4839114801152.0,0.13317802548408508,1e-14,"tensor(47429776., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[31.4903]], device='cuda:0')"
7000,0.08478400111198425,2914866167808.0,0.11393266171216965,1e-14,"tensor(47618352., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[31.2179]], device='cuda:0')"
8000,0.08479222655296326,1103378644992.0,0.09582601487636566,1e-14,"tensor(47357636., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[31.5945]], device='cuda:0')"
9000,0.08478636294603348,467411828736.0,0.08946047723293304,1e-14,"tensor(44984852., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[35.0219]], device='cuda:0')"
10000,0.08478442579507828,2317311016960.0,0.10795753449201584,1e-14,"tensor(38693616., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[44.1092]], device='cuda:0')"
11000,0.08479969948530197,423343816704.0,0.08903313428163528,1e-14,"tensor(30113568., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[56.5026]], device='cuda:0')"
12000,0.08478312194347382,210648072192.0,0.0868896022439003,1e-14,"tensor(20728648., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[70.0586]], device='cuda:0')"
13000,0.08480613678693771,4251300134912.0,0.12731914222240448,1e-14,"tensor(12911424., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[81.3502]], device='cuda:0')"
14000,0.08478076010942459,1245404069888.0,0.0972348004579544,1e-14,"tensor(6338960., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[90.8437]], device='cuda:0')"
15000,0.08480080962181091,2569674686464.0,0.11049755662679672,1e-14,"tensor(-27171830., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[139.2482]], device='cuda:0')"
16000,0.08478996902704239,4585446965248.0,0.13064444065093994,1e-14,"tensor(-67149816., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[196.9942]], device='cuda:0')"
17000,0.0847792774438858,2042743095296.0,0.10520670562982559,1e-14,"tensor(-1.6179e+08, device='cuda:0', grad_fn=<MulBackward0>)","tensor([[333.6905]], device='cuda:0')"
18000,0.08437972515821457,37736116224.0,0.08475708961486816,1e-14,"tensor(-1.9308e+08, device='cuda:0', grad_fn=<MulBackward0>)","tensor([[378.8940]], device='cuda:0')"
19000,0.07977434247732162,188747513856.0,0.08166182041168213,1e-14,"tensor(-2.3579e+08, device='cuda:0', grad_fn=<MulBackward0>)","tensor([[440.5872]], device='cuda:0')"
