Epoch,Collocation Loss,Physics Loss,Total Loss,Alpha,E,Percent Error (E)
0,0.12663798034191132,8869082300416.0,0.21532881259918213,1e-14,"tensor(48461536., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[30.0000]], device='cuda:0')"
1000,0.025572452694177628,765282549760.0,0.03322527930140495,1e-14,"tensor(33088312., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.2058]], device='cuda:0')"
2000,0.025428539142012596,753475780608.0,0.03296329826116562,1e-14,"tensor(33154122., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.1107]], device='cuda:0')"
3000,0.02541780099272728,714118004736.0,0.03255898132920265,1e-14,"tensor(33142048., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.1282]], device='cuda:0')"
4000,0.02553079091012478,766957453312.0,0.03320036455988884,1e-14,"tensor(33109606., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.1750]], device='cuda:0')"
5000,0.025608405470848083,752377659392.0,0.03313218057155609,1e-14,"tensor(33142882., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.1269]], device='cuda:0')"
6000,0.02547457069158554,757253537792.0,0.03304710611701012,1e-14,"tensor(33122430., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.1565]], device='cuda:0')"
7000,0.025509310886263847,800663404544.0,0.033515945076942444,1e-14,"tensor(33134350., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.1393]], device='cuda:0')"
8000,0.11028484255075455,6023699496960.0,0.1705218404531479,1e-14,"tensor(54898156., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[20.7027]], device='cuda:0')"
9000,0.11028563231229782,5354737369088.0,0.16383300721645355,1e-14,"tensor(53906852., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[22.1345]], device='cuda:0')"
10000,0.1102626845240593,4731027062784.0,0.15757295489311218,1e-14,"tensor(10756160., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[84.4633]], device='cuda:0')"
11000,0.1092367172241211,767335399424.0,0.11691007018089294,1e-14,"tensor(-61681968., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[189.0962]], device='cuda:0')"
12000,0.1073683500289917,214502342656.0,0.10951337218284607,1e-14,"tensor(-81009200., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[217.0133]], device='cuda:0')"
13000,0.106427401304245,139682250752.0,0.10782422125339508,1e-14,"tensor(-1.0291e+08, device='cuda:0', grad_fn=<MulBackward0>)","tensor([[248.6455]], device='cuda:0')"
14000,0.10321060568094254,577862565888.0,0.10898923128843307,1e-14,"tensor(-1.0785e+08, device='cuda:0', grad_fn=<MulBackward0>)","tensor([[255.7805]], device='cuda:0')"
15000,0.07106196880340576,1723839938560.0,0.08830036967992783,1e-14,"tensor(7334903., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[89.4051]], device='cuda:0')"
16000,0.02877051569521427,953001443328.0,0.0383005291223526,1e-14,"tensor(32704556., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.7601]], device='cuda:0')"
17000,0.025239404290914536,3475304611840.0,0.05999245122075081,1e-14,"tensor(32948756., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4074]], device='cuda:0')"
18000,0.11027814447879791,5479378976768.0,0.16507193446159363,1e-14,"tensor(48323664., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[30.1992]], device='cuda:0')"
19000,0.11027632653713226,3232702136320.0,0.14260335266590118,1e-14,"tensor(45739968., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[33.9312]], device='cuda:0')"
