Epoch,Collocation Loss,Physics Loss,Total Loss,Alpha
0,0.33334851264953613,105992696102912.0,1.393275499343872,1e-14
1000,0.000252964353421703,8494026240.0,0.0003379046102054417,1e-14
2000,3.143058711430058e-05,2258629120.0,5.401687667472288e-05,1e-14
3000,1.6356989362975582e-05,1443350272.0,3.0790492019150406e-05,1e-14
4000,1.0504322744964156e-05,824227776.0,1.874659938039258e-05,1e-14
5000,4.060715582454577e-05,10871670784.0,0.00014932386693544686,1e-14
6000,1.6948997654253617e-05,1770371328.0,3.465270856395364e-05,1e-14
7000,9.00563463801518e-06,698349120.0,1.5989126040949486e-05,1e-14
8000,8.68557435751427e-06,669419712.0,1.537977186671924e-05,1e-14
9000,5.704175418941304e-05,5822761984.0,0.00011526937305461615,1e-14
10000,8.39284166431753e-06,650155200.0,1.4894393643771764e-05,1e-14
11000,8.910988981369883e-06,939922688.0,1.8310216546524316e-05,1e-14
12000,8.412782335653901e-06,632856768.0,1.4741350241820328e-05,1e-14
13000,8.329247066285461e-06,634380096.0,1.4673048099211883e-05,1e-14
14000,8.91385025170166e-06,1085900800.0,1.9772858649957925e-05,1e-14
